lr,entropy_coef,gamma,intrinsic_coef,episodes,curriculum_threshold,avg_reward,trial_duration (s),trial_number,objective
1.0454724026199968e-05,0.04927021318887208,0.9548269913595943,0.0925888608465085,841,760,4.19943240653969,348.8790991306305,20,-4.19943240653969
0.0004621335978801061,0.031856317985370974,0.9831111171487754,0.1033833033850135,919,909,1.8460948959316934,82.53846096992493,16,-1.8460948959316934
2.6809584994902536e-05,0.025630825985824397,0.9880703350623465,0.13408142439563234,720,632,1.6211461679639245,54.57204842567444,44,-1.6211461679639245
4.6692420049292135e-05,0.04533865765227285,0.9572956488917254,0.12484963303264737,899,790,1.273252181904041,173.7571132183075,23,-1.273252181904041
8.139505943348171e-05,0.04467367539294465,0.9525374605088895,0.10759547110505266,622,589,0.8812876455178343,89.72453570365906,27,-0.8812876455178343
4.7862146693928194e-05,0.024275359217641568,0.9946753102422499,0.1365448409543036,623,580,0.6707427144843454,125.04013705253601,45,-0.6707427144843454
1.0541217311506461e-05,0.037271881073024635,0.9693586015854243,0.04735460624060564,792,726,0.4541227347136847,213.66645979881287,28,-0.4541227347136847
1.848477137345171e-05,0.020373031397200807,0.9817570912939099,0.19703844257006606,579,423,-0.6609751011349317,145.00245332717896,49,0.6609751011349317
1.0007423669614598e-05,0.03667854680251541,0.9522256608471632,0.05065621459056803,800,648,-0.7148403262921974,64.83880639076233,42,0.7148403262921974
1.1906510752512694e-05,0.04930599215824167,0.956762191370277,0.09297276202484948,846,775,-2.559154940046209,835.9826455116272,21,2.559154940046209
2.9022827591490276e-05,0.03784769359909586,0.9596568113910556,0.08054877404107572,769,597,-3.1276297135881648,138.40348720550537,26,3.1276297135881648
0.0007227170333163142,0.026539245400665882,0.9653316122263926,0.14881429990188638,711,511,-3.783611795265038,31.312706232070923,0,3.783611795265038
1.3423892612911049e-05,0.049598596934295296,0.950298047908392,0.09028703012432901,848,794,-3.807985803764904,376.39758038520813,22,3.807985803764904
0.0017360243033264374,0.020017137093339542,0.9922864256842704,0.059732941332280354,433,345,-3.8415816018608706,83.55445432662964,4,3.8415816018608706
0.0012755568783654138,0.0353995124652516,0.9624363935901573,0.06439279977753479,865,725,-3.879849706668028,18.09113907814026,38,3.879849706668028
3.903690524243319e-05,0.03925517288545843,0.9576214561004804,0.08501306093973027,533,481,-3.9132984553757515,34.89490103721619,37,3.9132984553757515
1.694730328792844e-05,0.040096350592194914,0.961739996252566,0.15465726882813824,950,829,-3.916577397928355,47.63002109527588,43,3.916577397928355
0.00042335165321780985,0.033237533986645994,0.9805093234349105,0.10943023756439181,937,901,-4.022981242940195,35.6245539188385,17,4.022981242940195
0.0018814334257482637,0.027461922566130025,0.975771120904095,0.0761774386249584,565,377,-4.16682482986664,22.459446668624878,13,4.16682482986664
